Regionalname,Bevölkerung insgesamt,Bevölkerungsdichte EW/km²
Alb-Donau-Kreis,196047,144
Baden-Baden (Stadtkreis),55123,393
Biberach,199742,142
Bodenseekreis,216227,325
Breisgau-Hochschwarzwald,262795,191
Böblingen,391640,634
Calw,158397,199
Emmendingen,165383,243
Enzkreis,198905,347
Esslingen,533859,832
Freiburg im Breisgau (Stadtkreis),230241,1504
Freudenstadt,117935,135
Göppingen,257253,400
Heidelberg (Stadtkreis),160355,1473
Heidenheim,132472,211
Heilbronn,343068,312
Heilbronn (Stadtkreis),125960,1261
Hohenlohekreis,112010,144
Karlsruhe,444232,409
Karlsruhe (Stadtkreis),313092,1805
Konstanz,285325,349
Ludwigsburg,543984,792
Lörrach,228639,283
Main-Tauber-Kreis,132321,101
Mannheim (Stadtkreis),309370,2134
Neckar-Odenwald-Kreis,143535,127
Ortenaukreis,429479,232
Ostalbkreis,314002,208
Pforzheim (Stadtkreis),125542,1281
Rastatt,231018,313
Ravensburg,284285,174
Rems-Murr-Kreis,426158,497
Reutlingen,286748,279
Rhein-Neckar-Kreis,547625,516
Rottweil,139455,181
Schwarzwald-Baar-Kreis,212381,207
Schwäbisch Hall,195861,132
Sigmaringen,130873,109
Stuttgart,634830,3062
Tuttlingen,140152,191
Tübingen,227331,438
Ulm (Stadtkreis),126329,1064
Waldshut,170619,151
Zollernalbkreis,188935,206
Baden-Württemberg,11069533,310
