Bundesland	Fläche	insgesamt	männlich	weiblich	je km2
Baden-Württemberg	35748,22	11069533	5501693	5567840	310
Bayern	70541,57	13076721	6483793	6592928	185
Berlin	891,12	3644826	1792801	1852025	4090
Brandenburg	29654,48	2511917	1239460	1272457	85
Bremen	419,36	682986	338035	344951	1629
Hamburg	755,09	1841179	902048	939131	2438
Hessen	21115,68	6265809	3093044	3172765	297
Mecklenburg-Vorpommern	23294,62	1609675	793639	816036	69
Niedersachsen	47709,50	7982448	3943243	4039205	167
Nordrhein-Westfalen	34112,31	17932651	8798631	9134020	526
Rheinland-Pfalz	19858,00	4084844	2017576	2067268	206
Saarland	2571,11	990509	486159	504350	385
Sachsen	18449,96	4077937	2009619	2068318	221
Sachsen-Anhalt	20454,31	2208321	1086679	1121642	108
Schleswig-Holstein	15804,30	2896712	1419457	1477255	183
Thüringen	16202,37	2143145	1060814	1082331	132
Deutschland	357582,00	83019213	40966691	42052522	232
